"","reviews"
"41","아이들의 상상과 동심이 있지만 어른들의 세계에서 자라난다  "
"42","관람객근래에 본 최고의 영화.  "
"43","관람객헐리우드판 로제타. 가난과 무지의 대물림 그리고 순수함.  "
"44","관람객갈 수 없던 곳으로 손잡고 달려 데려가주는 작고 뜨거운 심장 같은 카메라  "
"45","진짜 보고싶은데 상영 수도권을 제외 없다 ㅋ 심지어 수도권도 열 손가락으로 헤아릴 수 있을정도로 상영하네요 ^^^ 이게 대한민국 문화의 수치입니다 ^^ 진짜 ㅏㅉㅈㅏ증나니깐 상영관늘려라  ㅡ ㅡ  "
"46","매직캐슬과 디즈니랜드의 거리차..잿빛의 무거운 소재를 파스텔로 가볍게 그려낸 영화. 여운 남아서 후기씁니다  "
"47","좋은 영화는 세상을 구하는 법을 제시하지 않는다.  "
"48","우린 끝을 알고 있음에도 이 애처로운 즐거움이 영원했으면 하게된다. 마치 디즈니랜드에 있는 아이처럼  "
"49","제발 한명이라도 더 이 영화를 봐주면 좋겟다.  "
"50","정말 좋았어요. 분명 취향의 차이는 있을 거라고 생각해요. 하지만 같이 보던 영화관에서 끝난 뒤 박수가 나올 정도로 좋았답니다. 무니야 언제 어디서든 꼭 행복해야해 ㅠㅠ  "
"51","재미는 없고 그냥 생각할거리 만드는 영화.. 영상미 는 있지만 평범한 사람들 만천원내고 보면 아깝다는 생각 들 것 같음.. 나쁜영화는 아니니만 사실 왜 저렇게 호들갑 떨면서 극찬하는지는 이해 1도 안됨..전개 지루하고 메세지도 약하다 생각함  "
"52","지금 현재 미국의 빈민층 삶을 최대한 꾸밈없이 보여줌으로써 관객들이 함께 생각하게 하는 영화아역 주인공들의 연기가 몰입도를 높여준다  "
"53","신과xx 같은 유치찬란한 영화보다 훨씬 유익한 영화였다.  "
"54","아이들은 어른의 아버지 라는 글귀가 와닿는 영화...  "
"55","어른용. 색감 좋음. 괜찮게 봤지만 무니엄마가 이해가 안되네 바비아저씨 반의 반이라도 따라가면 좋았을텐데  "
"56","정말 좋은 영화입니다. 꼭보세요.  "
"57","관람객션 베이커 감독 영화는 고유한 매력이 있는 것 같아요. 비주류의 삶을 개성있게 그려내서 독특하고 신선한 느낌을 줍니다. 색감도 이쁘고 배우들의 연기도 좋았어요.  "
"58","너무 맑고 밝은 빛이라 더 짙게 다가오는 그림자처럼  "
"59","꼭 반드시 행복해져라 무니  "
"60","환상과 현실의 무대 사이 균형 잡힌 시선으로 바라본다.  "
"61","결말의 연출은 날 다시 꿈꾸게 해주었다. 내 꿈이 확실해질수 있도록 용기를 준 영화.  "
"62","“이 나무는 쓰러졌는데도, 계속 자라나서 좋아”무니와 헤일리를 향한 말이 아닐까 싶을만큼 가슴 아프고 먹먹한 영화였어요.  "
"63","엔딩은 정말..최고에요예고편보고 선택했다가 후회하지 않은 몇 안되는 영화에요  "
"64","왜 엄마인 핼리에 대해서는 아무도 이야기를 안할까?..그녀가 혼자 짊어져야 할 짐이 너무도 많았다.핼리와 무니가 행복했으면좋겠다  "
"65","플로리다와 무니의 밝은 모습과  대비되는 암울한 현실이 매우 현실적인 미국 사회의  어두운면을 잘보여주었다. 그 사실적인 묘사를 아역배우가 너무 잘해줘서 오히려 불편할 정도.  "
"66","‘매직캐슬’에 평생 살면서 생기는 마술이래봐야 무지개가 뜨는 정도?하지만 오늘도 have good day  "
"67","억지 감동 싫어해서 포스터 보고 안보려 했습니다. 보고나서 너무 좋았어요. 영화 똥파리처럼 리얼한 영화인데 그보다 더 후한 점수를 주고 싶음. 괜히 평론가들이 9점을 주는게 아니네요.  "
"68","관람객미국에 대한 환상을 깨주는 영화  "
"69","관람객우리모두 연민과 경계가 함께있는 바비지않을까..  "
"70","관람객세상 모든 무니를 위해세상 모든 핼리를 위해  "
"71","디즈니랜드가 이렇게 슬픈 장소였다니, 보고나서 버스를 타고 집에가는데 주책맞게 울어버렸다. 무니는 어떤집으로 가야하는가?  "
"72","알록달록 예쁜 영상미에 그 곳에서 피어나는 희망 같은 아이들의 웃음소리. 그럼에도 눈물이 나고 마음이 짠해지는 영화. (예고편이나 포스터만 보고 마냥 동화 같은 스토리를 기대했다면 당황스러울 수 있음)  "
"73","칠해도 칠해도 갈라지는 그들의 삶 지금 뛰어가는 그곳은 무지개가 떠있기를.  "
"74","관람객예쁜 색감과 영상으로 메이크업한 불편한 현실.무니가, 핼리가 행복하길.  "
"75","관람객잘 이해가 되지 않았다. 하지만 영상미는 정말 예뻤다  "
"76","관람객예쁜 화면만큼 아픈내용  "
"77","마지막 장면이 잊혀지지 않는다.무니의 우는연기에 놀랐고 젠시가 무니를 데리고 도망가는곳이 디즈니랜드라는것에 마음 아팠다아이들은 그곳을 꿈과 희망의 나라로 믿고있는거였다..그래서 그곳으로 도망가면 다 해결될꺼라고 생각했던 것이였다...  "
"78","가장 절망적으로 울려 퍼지는 희망의 송가. 단호한 태도를 보여주지도 분노하지도 애처로워하지도 않는다. 그저 그곳을 보여준다. 디즈니월드 바로 근처, 뛰어가면 닿을 거리의 그곳을.  "
"79","불편하다..  무니가 또다른핼리가 될까 심히걱정스럽다  "
"80","어린이의 시선으로 바라본 &lt;나,다니엘 블레이크&gt;. 너무나도 밝은 이면의 얘기를 대조적으로 그려내 더없이 슬프고 묵직하게 다가오는 영화.  "
"81","여러분! 포스터에 속지 마세요  "
"82","관람객담담하고 순수해서 더 슬픈 사회의 이면  "
"83","진짜 보세요. 정말 보세요. 제발 보세요. 꼭 보세요...  "
"84","관람객사전에 아무 정보없이 보세요  "
"85","해맑기만 하던 무니가 울 땐 참..  "
"86","어른의 눈으로 바라보기에너무나 찬란해서 온전히 마음에 담아 둘 수 없었다.마지막 장면에서 괜시리 울음이 터진건나 또한 아이의 눈이었던그 시절을 살아봤기 때문일것이다.  "
"87","환상적인 색감...속애 극사실주의적인 묘사  "
"88","보고나면 가슴이 아려요. 매우 좋은 영화입니다.  "
"89","아이들의 세계를 보듬어야 할 어른들의 세계가 오히려 아이들의 세계를 위협하고 무너뜨리는 풍경. 그 안에서 어른들은 속수무책으로 황망히 서있을 수 밖에 없고, 그래도 아이들은 서로의 손을 붙잡고 뛴다. 슬픈 영화  "
"90","관람객아역의 연기는 연기가 아닌 진짜 아이의 삶을 있는 그대로 다큐를 찍은것은 아닌지..여전히 의심이 들만큼 사실적이다. 어른보다 나은 햇살같은 아이들의 마음..  "
"91","아이들 연기가 볼만하다.  "
"92","누구의 탓을 할 수 있을까  "
"93","관람객마음이 아릿하게 저립니다...무지개끝처럼 잡히지 않는 희망...  "
"94","영화가 끝을 향해 달려갈수록 천진난만한 아이들의 웃음이 아프게 다가온다. 디즈니랜드에서 가장 가까우면서 먼 아이들의 이야기  "
"95","관람객꿈이 아닌 현실 그대로인 영화  "
"96","영화자체는 관람하는 내가 예술성이 부족해서 감독의뜻을 다 이해못한다 치는데 아무리생각해도 홍보팀이 괘씸하다  "
"97","눈부시게 밝지만 뼈속까지 가슴 시린.  "
"98","멀리서 보면 희극  가까이서 보면 비극  "
"99","이 영화를 많이들 봤으면 좋겠습니다. 무니가 살아갈 인생이 얼마나 고달플지 알기에 눈물이 나오지만 그래도 무니가 행복했으면 좋겠어요 꼭.  "
"100","우는 걸 보니 무니도 어린아이였다....나도 모르게 울컥햇다.  "
"101","몰입 잔잔함속에 뜨거움  "
"102","라스트씬은 델마와 루이스를 연상케 할 정도로 인상적임~  "
"103","천진함 후에 엄습해오는 차가운 현실. 우리의 디즈니궁전은 어디에..  "
"104","진창에서 피어난 꽃 같은 아이들의 웃음이 기억에 남는다 그리고 그 아이가 커서 헤일리 좀 더 나은 상황이길 바란다면 욕심 같아보인다. 가난이 지옥이구나라는 생각 밖에 안든 영화 손잡아준 젠시가 고마울 뿐이다 고마워 젠시야  "
"105","어른들이 언제 울지 아는 아이, 웃음만 짓던 그 아이도 우는 법을 알았다.  "
"106","관람객라스트 씬의 통렬한 임팩트를 기다리는 시간이 조금 길다.  "
"107","관람객감독의 &#39;쿨&#39;함을 잘 볼수 있는 영화였습니다. 아이들 시선과 어른의 시선이 절묘하게 잘 표현되었고, 슬프네요....  "
"108","너무 아름답고 눈이 부셔서 눈물이 나는 영화. 사랑스럽다는 말로는 표현할 수 없는, 가장 사랑스러운 걸작.  "
"109","관람객예쁜, 그래서 더 슬픈 분홍색  "
"110","관람객생각했던 것이랑 전혀 다른 영화  "
"111","아이들은 아무런 잘못이 없는데...  "
"112","관람객우울 심각 답답 암울 기분이그랬다  "
"113","관람객어느 누군가의 실제 삶일 수 있다는 생각에 마음 한켠이 먹먹했네요.  "
"114","뿌리가 뽑혀도 무니는 자란다.  "
"115","답답하고 화나는 게 당연하다. 이게 현실이다... 우리가 바라는 판타지 세계는 없고 반전이 있을까 기대하지만 반전이 없는 게 바로 현실이다  "
"116","국내 포스터를 잘못 만들었어. 판의미로도 아니고 이게 머야..   주인공 꼬마는 쩔었지만 100분 넘게 사고치는거 보면 피곤해짐  "
"117","관람객매직드림의 세계 뒤에 숨켜진 현실이라는 어두운 그림자에서 가장 밝게 빛나는 사랑의 마음을 위하여  "
"118","관람객와 이영화를 이렇게 홍보하네... 마케팅 담당한 사람이 저질이다  "
"119","배급사 XXXX들아 판의미로도 그렇고 대체 영화를 보고 포스터를 만들기는 하는거냐  "
"120","최근 본 영화중 최고.  생각할수록 생각할거리를 던진다. 무니의 연기를 볼 수 있어서 행복했다.  "
"121","관람객앤딩크래딧을 보며 눈물을 흘려보긴 처음, 그리고 왜 눈물이 나오는건지도 모르겠고...  "
"122","관람객무니가 다 했다. 그 어린 배우가 이 영화를 찍으며 너무 아파했을 것 같다. 그렇기 때문에 우리는 또 배운다.  "
"123","무니가 마지막에 우는 장면에서 차마 눈물을 참지 못했다  "
"124","관람객현실을 놀이터 삼다 끝내 환상속으로 숨은 무니와 젠시의 비참한 선택.  "
"125","2018 최고의 영화 중 하나가 아닐지  "
"126","무니야 행복해야해무니가 더 밝아서 가슴 아팠던..  "
"127","우리의 디즈니랜드 플로리다 하지만 현실은  "
"128","거참 꼬맹이 연기 잘하네...  "
"129","디즈니랜드 옆 모텔 너무나도 다른세상 마지막 서로의 손을 잡고 디즈니로 달려가는 모습에 울컥했다  "
"130","쏘굿..소프트아키미 오조오억개 사주고싶어 무니.  "
"131","관람객아이들과 영상이 너무 예쁘지만 가볍지 않은.가슴이 먹먹해 지는 영화.  "
"132","관람객보고 나서 마음이 무거워졌습니다  "
"133","본능적으로 회피하지만 느낌으로 불안함을 아이들은 안다. 아닌척할뿐. 반복이 되면 애어른이 되어간다. 이 세상엔 이런 아이가 계속 늘어가겠지  "
"134","아...정말  너무 좋네요. 디즈니의 환상의 이면..이랄까. 슬프다.  "
"135","어디 하나 흠잡을 데 없는 영화  "
"136","Good 입니다. 좋네요.  "
"137","관람객두 시간 내내 울기만 했습니다.  "
"138","세상의 수없이 많은 무니들에게..  "
"139","장난꾸러기만 같던 무니의 눈물은 이 영화가 얘기하고 싶은 모든것을 보여주는듯..꼬마아가씨의 연기에 박수를 보낸다..^&^  "
"140","아이들에겐 어른들의 일상이 형형색색으로 화려해 보이나봐, 아이들에겐, 천진난만한 아이들에겐  "
"141","밝은 영화라고 생각했는데 솔직히 많이 놀랐다.. 너무나 마음이 아펐다. 아이들이 마지막에 향하는 곳은...  "
"142","모든 역활에 최적화된 연기를 보여준 드림팀의 걸작 화려하고 아름다운 색채로 포장된 일그러진 성장기...  "
"143","관람객마지막 음악이 조금 안타까웠지만 시간 가는줄 모르고 감탄하며 본 영화 코닥 땡큐  "
"144","재밌게 잘 보았습니다.  "
"145","너무 아름답고 씁쓸한 영화였습니다.  "
"146","아메리칸나잇매어...  "
"147","보고나서 바로는 무슨 영화야 싶었는데 생각할 수록 모든 곳에 복선이나 장치가 깔려있었고 대조되는 장면이 많았네요 대사 장면 너무 좋았어요... 디즈니랜드 같이 멋진 보라색 집이지만 안쪽엔 빈대가 살고 어떤때에도 울지 않던 무니는 자기가 울 때를 몰랐고  "
"148","알바들은 궁합이나 보길  "
"149","영화가 점점 후반부로 갈때 눈물이 한없이 나왔다. 너무 가슴 아리고 아름다운 영화. 최고의 엔딩. 인생 최고의 영화.  "
"150","관람객아름다운 영상미와 아이들의 해맑은 모습과 대비되게 위태위태하고 결코 가볍지 않았던 영호ㅓ  "
"151","인간극장보다 현실적이다  "
"152","&#39;희망&#39;이라는 모래밭에서 &#39;절망&#39;이라는 진주알을 찾았을때...  "
"153","반짝반짝 빛나는 장면들 뒤에 가슴먹먹한 슬픔이 있었다  "
"154","누가 그녀에게 돌을 던지는가  "
"155","꼭 봅시다 꼭 영화가 생각할거리를 지루하고 힘들지않게 잘 던져주네요  "
"156","무겁지도 가볍지도 않지만 깊이 있게 그려낸 영화..많은 생각을 하게 만드는 영화  "
"157","동화같이 따뜻하고 아름다운 플로리다의 배경과 현실의 처참함과 아이들의 천진난만함이 역설적으로 뒤섞여있는 작품. 올해 본 영화 중 베스트  "
"158","네이버 하는짓봐라 무지개 어드벤처래.... 근래에 본 가장 잔혹동화구만...  "
"159","관람객귀여운 아이들에 신나게 웃다가 마지막 장면에 감동이 몰아친다  "
"160","색감으로 성택한 영화지만. 그 외에 담고 있는 내용이 많아 짜릿하며 아련함  "
"161","아름다움은 가장 절망적인 현실옆에서 더 빛나보이는 건 왜일까  "
"162","찬란하고 아름다워서 더욱 슬프고 오래도록 여운이 남는 영화. 아이들의 세상은 무지개빛으로 빛나지만, 그 무지개가 뜬 하늘은 그저 맑고 푸르기만 한 것이 아니었다 ...  "
"163","영화 시작부터끝날때까지 속으로 욕하면서 봤다. 주변사람들이 무슨 죄냐? 주변사람들에게 민폐끼치는 것들 너무 보기 불편하다. 아이들이 못된짓만 배울까봐 두렵다. 핼리와 아이들의 온갖 비행들을 수습하는 바비와 죄없는데 처참하게 폭행당한 애슐리가 불쌍하다.  "
"164","관람객좋지 않은 것들이 나쁘지 않음을 알고 싶다  "
"165","무지개와 아이스크림, 잠깐의 달콤함 뒤에 오는 씁쓸함. 그 순간만큼은 행복하다~  "
"166","영화관을 찾기가 너무 어렵다. 그럼에도 기어이 찾아내서 관람한 영화인데, 돈이 아깝지가 않다. 아이들의 눈으로 보는 미국의 민낯을 유쾌하게 그려냈다.  특히 모텔 관리인 바비의 슬픈 눈이 왜 이렇게 더 남는지 모르겠다.  돈 앞에 모녀마저 무너지는구나  "
"167","관람객무니를 위해서 뭐든지 했던 무니엄마무니엄마와 무니를 최악의 상황까지 몰아넣은 것은 그들이 아니라 그들이 살고있는 나라였다  "
"168","관람객결말이 약간 그렇지만 그래도 감동적인 영화  "
"169","관람객아이는 사랑스러움ㅇㅇㅇ  "
"170","우리가 여행하는 이유는엄마와 아빠 손잡고 철없이 뛰어놀던 공간과 비슷한 곳을 찾는 것이다그때가 처음이자 마지막 경험한 행복일 것이다대다수는 이 아름다운 곳들을 스쳐지나가 가기 바쁘다.. 슬프지만..우린 공평하지 않다..태어나는 순간부터..  "
"171","관람객아 사랑스럽다. 아 행복하다.  "
"172","디즈니랜드에서도 그 건너편 싸구려 모텔에서도 아이들은 자란다.  모든 아이들이 행복해졌으면 좋겠다.  "
"173","관람객어떤 선택이 좋은 걸까?  "
"174","읽기 어려운 소설이 있잖아요. 그러나 나주에 보면 참 감동적이고 머리속에 그 대사 내용들이 막 떠오르는 그런 소설 같은 영화입니다. 마지막 장면에 40대 후반 남자 아저씨가 눈물이 났어요.  &#34;나는 이 나무가 좋아 쓰러졌지만 자라는 나무야&#34; 무니  "
"175","아케데미에서 극찬을 받을만한 영화  "
"176","엔딩 크레딧 다 올라갈때 까지 나갈 수 없었다...  "
"177","Good~~~~!!  "
"178","관람객뭉클한 영화였어요. 무니가 디즈니에서 행복하길  "
"179","관람객삶이 영화보다 더 치열하다는 말이 무색해진다 무니의 연기는 인정 또 인정  "
"180","관람객아이들이 주인공이라고 방심하다가 묵직하게 명치 맞고 나온 기분이네요. 모텔도 아이들 옷도 파스텔 톤이지만 어른들은 그렇지 않아요.  "
"181","관람객달콤한 영화일 줄 알았는데..씁쓸함이 오래 남는다.  "
"182","관람객울고있는데 울고싶은 기분  "
"183","관람객후회하지 않을 영화입니다 꼭 보세요  "
"184","극빈곤층의 삶을 적나라하게 보여준 영화. 이별의 끝에서야 들어간 디즈니월드  "
"185","관람객화려한 색감뒤에 가슴 먹먹한  이야기.  "
"186","관람객이 영화 보고 나서 며칠을 울었어요 ㅠㅠ  "
"187","관람객정말 좋았어요. 마냥 밝고 순수한 내용인줄 알았는데 마지막엔 엉엉 울었네요 ㅠㅠ  "
"188","관람객예쁜 포스터에 속아버렸습니다  "
"189","좋다 그냥 !! 가슴아프지만 애들이 너무 사랑스럽다  "
"190","마냥 예뻐서 마냥 밝지만은 않은 영화  "
"191","어린악동들의 어른들 골탕먹이기 라는 식으로 홍보하지마라. 완전 씁쓸하고 먹먹해지는 영화임. 그리고 영화 좋음.  "
"192","마지막 엔딩 젠시의 표정 과 무니의 눈물은 오래도록 기억에 남을거같아요. 최고의 엔딩이었어요.  "
"193","배우들의 연기와 감독의 연출도 정말 좋았고 많은 생각할것들은 던져주는 드라마도 좋았다. 다만 개인적으로 몰입하기 힘든 취향의 작품이라 진하게 가슴에 와 닿는 여운은 없었다.  "
"194","무한정 안타까운 영화..  "
"195","관람객어리지만 삶의 무게를 짊어지고 살아가는 무니와 책임감을 갖고 열일하며 신경안쓰는 듯 하면서도 사회적 경제적 약자를 진심으로 생각하고 돌보는 바비의 모습이 인상깊다.  "
"196","그릇된 어른의 감성이 아이의 감성과 다르지 않음을 보여주는 영화. 아이의 감성이 성숙한 몸으로는.. 그릇된 어른으로 비춰져 통용되지 못함에 한탄하는 영화. 그것에 더 나아가, 현실에서 아이의 감성이 통용되지 못하는 안티디즈니적인 영화  "
"197","관람객아 모르겠다. 눈물이 안멈춰서 그냥 극장을 뛰쳐나왔다  "
"198","관람객신선하고 먹먹해지는  영화였어요  "
"199","바비의 감정과 시선을 느끼며 영화를 감상해보자.  "
"200","시종일관 먹먹하고 가슴아린 영화.... 엔딩크레딧 다 내려갈 때까지 단 한 사람도 일어나지 못하던...그래도 희망은 있는걸까.. 젠시의 손에 이끌려 디즈니월드를 내달리는 무니는 어디로 갈까...  "
"201","관람객무니가 행복했으면 좋겠다  "
"202","또 보고싶은 영화, 아니 또 보고싶은 무니.  "
"203","관람객무니와 핼리의 잔혹동화  "
"204","예상했던 내용이랑 너무 달랐다 ㅋㅋ끝나고 바로 일어날수없었다  "
"205","관람객아역배우의 자연스러운 연기를 보는 건 좋은데 어딘지 모르게 슬픈 영화  "
"206","오늘 보고 오는 길인데 솔직히 예고편이 잘못만들어지지 않았나 싶어요.  "
"207","관람객예고편과는 완전히 다른 느낌의 영화. 끝나고도 쉽사리 발걸음이 떨어지지않았다. 솔직함이 가득했던 영화. 그러나 내가 이해하는 수준이 얕아서 인지는 모르겠지만 결말이 조금은 허무하다는 생각이 들었다.  "
"208","너무 어두워서 깜짝 놀랐다..  "
"209","환경과 상관없이 천진난만한 아이들이나, 나름대로.. 정성껏 아이들을 키우는 엄마들의 모습 모두.. 많이 아팠다. 참 아픈 영화였다. 그나마 마지막 장면에서 위로를 받았다.  "
"210","관람객산다는게 참 쉽지가 않다  "
"211"," 밝은영화인줄 알았는데 정말 ㅜㅜ  "
"212","관람객동화같은 껍질 속의 아픈 현실  "
"213","관람객디즈니 랜드 관람이 끝난 후엔....  "
"214","관람객쓰러져도 계속 자라니까. 근데 나무도 살아갈 터와 비와 햇빛이 필요한데. 그래 차라리 같이 도망치고 싶었다.  "
"215","영화가 끝난것 같으면 진짜 끝난거에요  "
"216","재밌는 영화는 아님, 다큐멘터리 같은데 영화의 다양성을 위해 8점줌. 무니 엄마가 개 철부지인데 그래도 끝까지 지 딸 키우려는건 인정. 무니는 다 알고 있었던것 같다. 요즘은 아이들이 더 빠른가? 나는 6살때 잘 몰랏던것도 많았는데 ㅎㅎ  "
"217","이젠 지켜보는 것 조차도 지쳤다.  "
"218","관람객아름다운 배경과 비극적인 상황이 대조를 잘 이뤘고 힘든 상황속에서도 무니의 순수함이 돋보였습니다.근데 엔딩은 다소 난해하네요ㅠㅠ  "
"219","어떤 사건 중심 영화가 아니고 무니의 하루 일상 영화이기 때문에 자극적인 영화가 익숙하면 실망할만함. 이해할 사람은 하고 못하는 하사람은 못할 영화. 심리적인 영화임. 아무렇지 않은 척 하지만 무니는 괜찮은걸까. 무니가 행복하길!  "
"220","관람객전작부터 쭉.. 어두운 현실에 색깔을 입히는 감독만의 방법이 좋다  "
"221","관람객무니앞의 환상같은 현실  "
"222","이쁜 색감 너무 이쁜 아이들 어려운현실 더 어려운 행복  "
"223","관람객어떻든 어쨋든 살아 나가야 한다는게  "
"224","무지개 저편, 가려진 공간에 사는 이들에게 누가 돌을 던지랴.  "
"225","그랜드 부다페스트 호텔 &#39;같은&#39; 3류 모텔에서 스킨스 찍는 엄마와 미국 초딩이 노는 법을 담은 다큐멘터리. 텀블러를 비디오화한것 같은 느낌도 든다. 그리고 바비 아저씨는 불쌍하다.  "
"226","아니 그냥 평점만 매기는 기능도 있으면 좋겠다....  "
"227","뒤돌아 있을 뿐 안들리는건 아니야  "
"228","뭐가 있는듯 없는 밋밋함  "
"229","월요일이 사라졌다의 7남매 아빠가 왜 나와? 형이 왜 거기있어???  "
"230","관람객무지개도,누워서 자라는 나무도 희망의 메타포는 아니다.  "
"231","관람객꿈과 희망을 곁에 두고 살지만 결코 그것을 가져볼 수는 없는 무니는 이미 손에 쥐어진 작은 행복도 마음대로 누릴 수 없는 건가요?  "
"232","어른들에게 그랜드부다페스트 호텔이 있다면 아이들에게는  킹덤매직 모텔이 있다. 디즈니 월드와는 다른 차원의 환상적인 영화 체험! 아리지만 그래도 황홀한~  "
"233","영원히 희망을 품을 것 같던 무니도 환상의 나라를 찾아가는구나.  "
"234","담채화, 춘곤증! 사는거 버겁다!  "
"235","관람객올해의 눈물상. 배우들의 연기가 너무 훌륭하다. 특히 무니  "
"236","관람객아름답고 슬픈 영화...  "
"237","관람객많은생각을 하게해준영화  "
"238","관람객무니랑 같은 표정으로 울게만든 영화  "
